^sveekaar,accept
^taras,ache
^praapt,achieve
^abhinay,act
^milaan,add
^pravesh,admit
^prashansha,admire
^tarakki,advance
^raaji,allow
^gussa,anger
^ksama,apologize
^bahas,argue
^aana,arrive
^puchh,ask
^dur,avoid
^sek,bake
^snaan,bathe
^ho,be
^hojaa,become
^mor,bent
^kaat,bite
^vinti,beg
^gaurav,boast
^sambandh,bond
^udhaar,borrow
^jhuk,bow
^tor,break
^jee,breathe
^laa,bring
^saaf,brush
^nirmaan,build
^kharid,buy
^bula,call
^shaant,calm
^padav,camp
^chinta,care
^pakad,catch
^chunauti,challenge
^thanda,chill
^jaam,choke
^taali,clap
^charh,climb
^pakaa,cook
^ikattha,collect
^kanghi,comb
^ghol,combine
^khaans,cough
^rulaa,cry
^naach,dance
^nischit,decidekhel
^der,delay
^saupna,deliver
^maang,demand
^inkaar,deny
^nast,destroy
^samarpit,devote
^doondh,discover
^gotaa,dive
^sandeh,doubt
^sapna,dream
^pee,drink
^chala,drive
^chhod,drop
^kha,eat
^sharmind,embarrass
^aling,embrace
^khali,empty
^ghus,enter
^baraabar,equal
^mitaa,erase
^bhaag,escape
^jaanch,examine
^uttej,excite
^bta,explain
^baahar,exit
^barhaa,extend
^saamna,face
^chook,fail
^murjha,faint
^prichit,familiar
^dar,fear
^sangharsh,fight
^khoj,find
^theek,fix
^palat,flip
^kshama,forgive
^toot,fracture
^tal,fry
^kamaa,gain
^sarpat,gallop
^baag,garden
^saja,garnish
^haamph,gasp
^ghur,gaze
^uth,get up
^chamak,glisten
^jaa,go
^pakad,grab
^ragad,grind
^ug,grow
^andaaj,guess
^margdarsh,guide
^nigal,gulp
^khet,harvest
^dvesh,hate
^yaad,haunt
^sun,hear
^sahayata,help
^hichak,hesitate
^phudak,hop
^asha,hope
^talash,hunt
^jaldi,hurry
^sammoh,hypnotize
^adarsh,idealize
^poojan,idolize
^vyakhya,illustrate
^soch,imagine
^sudhar,improve
^shamil,include
^prabhav,influence
^prichay,introduce
^avishkaar,invent
^bula,invite
^khujaal,itch
^tok,interrupt
^chirh,irritate
^karavas,jail
^thak,jade
^atak,jam
^sair,jaunt
^jokhim,jeopard
^khankh,jingle
^thirak,jive
^mazaak,joke
^majak,joke
^safar,journey
^nirnay,judge
^kud,jump
^gir,keel
^rakh,keep
^laat,kick
^apaharan,kidnap
^sulag,kindle
^chum,kiss
^sikod,knit
^khatkhat,knock
^jaan ,know
^mehnat,labor
^nindaa,lampoon
^has,laugh
^let,lay
^seekh,learn
^chhorh,leave
^jhut,lie
^pasand,like
^sun,listen
^bikher,litter
^rah,live
^dekh,look
^dheela,loose
^haar,lose
^pyar,love
^daak,mail
^bana,make
^sambhal,manage
^herpher,manipulate
^naksha,map
^vivah,marry
^matlab,mean
^mil ,meet
^maap,measure
^pighal,melt
^doodh,milk
^privart,modify
^dekhrekh,monitor
^sarak,move
^jakad,nail
^naam,name
^jhapki,nap
^sunaa,narrate
^majbur,necessitate
^chaah,need
^upeksha,neglect
^ghosla,nest
^naamit,nominate
^poshan,nourish
^aghya,obey
^virodh,obstruct
^ghatit,occur
^pesh,offer
^khol,open
^vyakt,orate
^niskash,ostracize
^rnee,owe
^apna,own
^julus,parade
^chheel,peel
^ashwashan,persuade
^rop,plant
^khel,play
^vichar,ponder
^abhyas,practice
^prarathna,pray
^daba,press
^pratighya,promise
^yogya,qualify
^jhagra,quarrel
^radd,quash
^bujhana,quench
^prashn,query
^pankti,queue
^sawal,question
^rajai,quilt
^daud,race
^vidroh,rebel
^parh,read
^araam,relax
^uttar,response
^dho,rinse
^bhun,roast
^jalyatra,sail
^bacha,save
^kaha,say
^bech,sell
^gaa,sing
^so ,sleep
^chheen,snatch
^gher,surround
^bol,speak
^chhalka,spill
^jasoos,spy
^khada,stand
^ruk,stop
^vichal,swerve
^le,take
^chakh,taste
^faad,tear
^soch,think
^uchhal,toss
^baandh,tie
^chhu,touch
^yatra,travel
^bartaav,treat
^tharthar,tremble
^bharos,trust
^koshish,try
^khol,unfold
^samajh,understand
^nikaal,unpack,
^prayog,use
^hadap,usurp
^chhutti,vacation
^teeka,vaccinate
^nirvaat,vacuum
^todphod,vendalize
^gayab,vanish
^mehrab,vault
^aadar,venerate
^sahas,venture
